age,monthly_income,years_at_company,years_in_current_role,job_satisfaction,work_life_balance,performance_rating,distance_from_home,num_companies_worked,total_working_years,gender,overtime,department,attrition
59,105655,9.6,0.8,1,3,4,33,2,7.0,Male,No,Engineering,No
49,47446,0.2,1.1,4,4,4,31,1,17.3,Female,No,Sales,No
35,144040,0.5,2.8,1,2,3,35,1,1.3,Male,Yes,Finance,Yes
28,33046,2.0,2.7,4,1,4,17,1,7.3,Female,No,Engineering,Yes
41,149922,0.5,1.9,3,4,2,28,4,8.7,Female,No,Sales,No
59,44818,12.5,0.2,3,1,5,19,0,4.3,Male,No,HR,No
39,120894,6.4,0.3,1,3,5,23,4,9.7,Female,No,Engineering,Yes
43,135751,1.2,0.2,1,2,2,32,3,4.2,Female,No,Support,Yes
31,24324,3.6,1.7,1,1,5,13,5,5.6,Male,No,Finance,Yes
31,96323,16.1,4.2,2,2,1,20,5,0.1,Female,No,Sales,Yes
44,29111,8.6,1.1,2,1,2,35,7,9.4,Male,No,Engineering,No
56,58110,3.7,0.4,2,3,4,5,0,8.7,Female,Yes,HR,Yes
44,36389,9.4,1.6,1,3,2,9,3,0.3,Female,Yes,Finance,Yes
23,142177,18.1,3.3,4,2,3,29,0,3.7,Male,No,Finance,No
42,61427,5.4,2.7,3,3,4,6,5,30.9,Female,Yes,Engineering,No
22,99579,0.3,4.3,1,4,3,25,6,4.4,Male,Yes,HR,Yes
44,48746,2.1,0.7,2,1,4,31,4,5.6,Male,No,Sales,Yes
50,142883,7.3,0.4,2,3,5,22,1,19.3,Male,Yes,Engineering,No
58,107886,1.0,4.2,1,4,2,2,5,10.1,Female,No,Sales,Yes
22,127141,7.1,2.1,1,2,1,5,2,7.0,Female,No,Finance,Yes
41,20117,0.5,0.7,2,4,4,27,1,12.8,Male,No,Sales,Yes
53,145808,0.2,2.7,4,2,4,25,5,16.0,Female,No,HR,No
32,132221,1.9,3.4,2,2,3,8,4,4.9,Female,Yes,Support,Yes
42,104471,0.1,1.9,2,1,5,1,0,5.2,Female,No,HR,Yes
45,132613,12.6,2.3,1,1,3,20,6,3.9,Male,No,Sales,Yes
47,33234,7.0,0.9,4,4,3,23,6,27.2,Female,No,Engineering,No
48,149597,6.5,1.5,2,1,5,32,1,9.6,Male,No,Finance,Yes
36,123864,4.0,1.5,2,1,1,11,4,0.7,Female,No,Support,Yes
35,73441,1.0,3.8,3,1,3,39,6,15.9,Female,No,Engineering,Yes
23,20846,2.9,3.7,1,4,3,24,6,5.2,Male,Yes,Engineering,Yes
57,30954,3.6,3.6,3,3,4,11,3,0.6,Female,No,HR,No
27,99239,3.0,0.0,3,1,5,29,2,6.4,Male,No,Sales,Yes
41,133689,1.2,2.8,2,1,2,26,1,4.3,Female,Yes,HR,Yes
29,66514,2.9,2.8,1,4,1,16,0,16.8,Male,No,Sales,No
59,108236,2.7,2.3,4,3,1,35,6,1.8,Female,Yes,HR,Yes
38,117579,22.4,2.8,2,1,5,20,3,14.0,Female,No,Engineering,Yes
24,148644,9.1,3.7,4,2,4,3,4,6.5,Female,No,Finance,No
45,26469,2.5,1.3,4,4,4,1,6,0.4,Male,Yes,Sales,No
34,50105,3.9,1.4,1,1,5,1,7,28.6,Male,No,Support,Yes
29,62101,5.5,0.3,3,1,4,17,2,5.7,Male,Yes,Support,Yes
46,84323,0.1,1.0,1,2,1,2,0,2.7,Female,No,Engineering,Yes
22,111922,9.0,2.1,4,2,1,29,4,5.1,Male,Yes,HR,Yes
40,78067,7.9,3.0,2,4,2,20,4,15.6,Male,No,HR,No
48,69376,2.4,0.5,4,4,5,6,1,2.9,Male,No,Engineering,No
27,65587,2.0,0.3,2,2,3,8,6,1.7,Male,No,Support,No
28,56976,1.3,2.2,2,4,3,29,1,1.1,Male,No,Support,No
55,124587,2.6,0.0,1,2,2,33,0,2.8,Male,No,HR,Yes
34,147534,0.2,0.4,4,1,2,3,7,12.1,Male,No,Sales,No
37,87584,7.6,0.1,3,2,4,35,6,5.1,Male,No,Finance,No
56,124537,0.1,0.4,4,2,2,5,5,2.1,Male,No,Sales,Yes
24,98477,1.6,0.4,4,3,2,27,6,1.5,Male,No,Support,No
22,130911,10.7,1.0,3,2,3,12,7,3.2,Female,Yes,Sales,Yes
26,62533,5.3,1.0,1,2,4,20,5,22.5,Female,No,Finance,Yes
24,21828,1.3,4.1,4,3,2,20,4,3.4,Male,Yes,Sales,No
49,21917,1.2,1.4,4,4,2,9,1,35.5,Female,No,Sales,No
38,40618,0.0,2.6,2,3,4,39,2,5.3,Female,No,Sales,Yes
46,52254,4.8,0.2,4,1,5,4,6,1.6,Male,No,Sales,Yes
54,125292,0.2,0.5,3,3,4,19,2,17.7,Male,Yes,Engineering,Yes
30,136714,3.0,2.4,2,1,3,38,6,4.9,Male,Yes,Support,Yes
56,67362,13.1,0.1,1,4,5,27,4,9.9,Female,No,Finance,No
34,40128,0.5,1.3,2,3,1,13,1,32.9,Male,No,Support,No
51,143781,9.0,1.8,3,3,4,13,0,0.4,Female,No,Engineering,No
35,131281,19.1,1.8,3,4,3,22,0,0.8,Male,No,Engineering,No
28,79383,0.3,0.0,2,1,5,28,0,10.2,Female,No,Engineering,Yes
34,85545,8.6,0.8,1,3,4,22,6,2.6,Female,No,Engineering,Yes
43,102180,2.9,2.0,2,1,2,19,6,1.6,Male,Yes,Sales,Yes
41,107958,9.5,0.3,1,3,4,8,2,0.3,Male,No,Support,No
36,29865,3.4,2.4,2,2,1,8,1,0.2,Female,Yes,HR,Yes
38,22219,4.3,2.7,3,3,4,26,7,11.9,Female,No,Finance,No
44,59809,3.1,8.0,4,4,5,26,6,1.2,Male,Yes,Engineering,No
